language,iso,family,dominant,variation,serial,dominant_quantifiers,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,twenty,thirty,forty,several,few
Bissa,bib,Mande,NNum,_,_,NQuant,69/202,28/107,12/72,3/43,5/41,1/10,7/83,1/7,0/4,3/22,1/6,22/48,1/8,0/10,1/19,12/53,0/1
Biangai,big,Goilalan,NNum,V,X,_,62/47,35/65,7/34,10/26,8/28,4/12,25/94,7/2,0/0,7/15,5/2,32/33,0/0,1/0,5/17,24/30,0/1
Bimoba,bim,Atlantic-Congo,NNum,V,1/2,NQuant,57/33,34/87,22/49,5/43,10/35,3/8,10/78,3/5,0/2,4/19,1/6,16/43,0/7,0/6,5/13,14/56,0/0
Bislama,bis,Indo-European,NumN,_,_,QuantN,762/34,122/22,83/6,51/1,45/2,9/3,78/9,8/0,3/1,24/3,3/4,51/21,9/1,6/4,19/2,109/1,2/0
Biete,biu,Sino-Tibetan,NNum,_,_,NQuant,55/264,29/92,5/67,13/42,5/37,1/6,5/79,2/6,1/0,4/19,4/2,30/31,1/7,1/5,5/15,12/96,0/1
Southern Birifor,biv,Atlantic-Congo,NNum,_,_,NQuant,85/95,40/100,16/58,8/43,11/34,2/9,9/74,3/5,0/1,10/18,1/4,29/42,2/6,3/9,4/18,22/34,0/3
Fanamaket,bjp,Austronesian,_,_,_,QuantN,56/0,10/1,5/0,2/1,6/0,2/0,0/0,1/0,0/0,0/0,0/0,2/4,0/0,0/0,1/0,7/0,0/0
Binumarien,bjr,Nuclear Trans New Guinea,NumN,_,_,QuantN,141/49,96/54,73/13,43/19,41/14,25/4,78/14,4/1,0/0,20/12,3/3,34/22,9/6,10/3,29/3,42/7,0/0
Bedjond,bjv,Central Sudanic,NNum,_,_,_,148/120,34/113,17/69,15/38,10/38,1/12,17/73,2/6,1/2,3/19,0/7,12/51,0/8,0/9,3/22,24/31,0/0
Binukid,bkd,Austronesian,NumN,_,_,QuantN,356/25,95/24,65/4,40/1,38/3,8/3,63/16,6/1,0/1,21/2,4/3,43/17,9/1,5/0,16/0,69/3,1/0
Bakairí,bkq,Cariban,NumN,_,_,QuantN,86/11,94/12,63/3,41/8,38/2,9/1,60/7,5/0,2/1,18/2,2/3,33/7,8/1,5/5,21/1,21/2,2/0
Buhid,bku,Austronesian,NumN,_,_,QuantN,570/58,99/35,71/7,40/7,38/5,8/3,73/10,6/0,0/1,20/4,4/3,32/27,5/2,8/3,20/0,72/8,2/1
Bekwarra,bkv,Atlantic-Congo,NNum,_,_,NQuant,105/104,40/81,17/60,20/18,14/31,3/7,18/69,2/3,0/1,6/15,0/6,14/47,2/3,1/2,3/16,33/61,1/0
Kuwaa,blh,Atlantic-Congo,NNum,V,X,NQuant,87/179,42/90,25/54,10/35,10/30,2/10,21/64,7/2,0/1,6/17,0/5,16/41,0/1,1/4,5/16,19/34,0/0
Balangao,blw,Austronesian,NumN,_,_,QuantN,392/15,95/20,53/6,38/4,30/11,7/4,67/11,5/2,0/1,22/2,3/4,35/18,9/1,6/0,16/2,76/0,1/0
Balantak,blz,Austronesian,NumN,_,_,QuantN,475/66,95/41,49/22,44/9,36/11,10/1,59/31,6/0,0/0,17/7,4/4,55/10,8/2,9/1,19/1,72/10,0/1
Bembe,bmb,Atlantic-Congo,NNum,_,_,NQuant,87/243,30/107,13/57,26/24,9/34,1/10,10/78,0/8,0/0,11/15,0/6,16/59,2/5,5/5,6/17,15/96,1/1
Kein,bmh,Nuclear Trans New Guinea,NNum,V,1/3,_,146/85,54/70,32/40,18/19,9/30,2/8,25/59,2/3,0/0,8/14,1/5,24/27,1/0,0/6,1/16,21/28,0/0
Ghayavi,bmk,Austronesian,_,V,X,QuantN,8/11,7/8,7/0,1/2,1/3,2/0,3/5,0/0,0/0,1/0,0/0,5/9,0/0,0/0,0/1,7/3,2/0
Bomu,bmq,Atlantic-Congo,NNum,_,_,NQuant,58/153,39/85,9/62,8/23,10/32,0/11,9/77,0/6,0/2,9/15,0/6,17/42,1/6,1/9,1/20,9/70,0/0
Muinane,bmr,Boran,NumN,_,_,QuantN,125/25,51/15,36/6,28/6,33/0,7/0,43/14,3/1,0/1,21/1,2/3,32/15,0/0,3/0,15/1,49/3,0/0
Somba-Siawari,bmu,Nuclear Trans New Guinea,NNum,_,_,NQuant,67/172,32/113,11/91,9/38,12/38,1/11,18/114,4/6,1/0,9/29,3/5,25/43,3/8,3/12,1/24,24/74,0/1
Eastern Tawbuid,bnj,Austronesian,NumN,V,X,QuantN,690/43,110/23,65/4,41/1,39/2,10/0,76/8,7/0,0/1,20/2,0/5,31/29,1/0,7/2,18/1,76/3,1/1
Bola,bnp,Austronesian,NNum,V,1/2,_,875/87,120/236,31/133,24/67,44/67,5/40,25/194,2/15,2/10,30/48,4/14,17/73,9/40,18/30,9/60,32/36,1/3
Bora,boa,Boran,NumN,V,X,QuantN,64/16,30/8,34/5,9/10,10/1,8/2,29/13,4/0,0/0,13/2,3/2,14/8,0/0,1/4,14/0,16/3,0/0
Tibetan,bod,Sino-Tibetan,NNum,_,_,_,0/0,0/3,4/27,9/38,5/8,6/12,2/14,1/5,1/6,5/24,1/11,1/17,4/11,0/9,7/21,0/0,0/0
Anjam,boj,Nuclear Trans New Guinea,_,_,_,_,74/62,61/53,15/43,12/16,19/19,1/8,26/55,1/7,0/0,12/12,3/3,28/24,0/0,0/8,2/11,28/41,1/0
Berom,bom,Atlantic-Congo,NNum,_,_,NQuant,96/146,35/87,9/73,9/32,10/42,0/10,11/75,2/6,1/1,4/21,0/7,11/55,1/5,0/10,3/16,18/81,1/2
Bine,bon,Eastern Trans-Fly,NumN,_,_,QuantN,284/24,124/14,78/6,39/1,43/2,8/2,78/5,7/0,3/0,23/1,4/2,54/6,3/0,7/2,17/0,89/3,4/0
Buamu,box,Atlantic-Congo,NNum,V,1/2,NQuant,157/86,43/86,19/52,9/30,11/32,1/11,18/59,3/5,0/2,6/17,0/6,13/44,1/5,0/10,1/18,19/55,0/1
Koronadal Blaan,bpr,Austronesian,NumN,_,_,QuantN,468/40,112/17,69/9,38/2,42/3,9/2,79/9,8/0,0/1,21/3,3/4,32/25,8/1,10/0,19/1,87/0,0/0
Sarangani Blaan,bps,Austronesian,NumN,_,_,QuantN,480/39,117/15,70/7,48/2,43/2,8/4,78/10,7/0,0/1,21/3,3/4,47/24,9/1,7/0,18/1,99/0,1/0
Boko (Benin),bqc,Mande,NNum,_,_,NQuant,209/283,157/457,85/293,49/136,28/126,12/84,50/320,7/32,4/20,41/134,3/18,46/96,18/131,11/107,16/85,22/113,1/8
Bandial,bqj,Atlantic-Congo,NNum,_,_,NQuant,168/111,45/76,10/53,6/46,12/31,2/10,14/72,2/5,0/0,12/22,0/3,13/52,0/7,2/5,4/15,25/49,0/1
Busa,bqp,Mande,NNum,_,_,NQuant,63/115,48/87,12/69,15/30,7/33,2/9,16/71,5/3,0/0,8/17,1/8,21/53,4/2,0/4,1/18,8/56,0/0
Breton,bre,Indo-European,NumN,_,_,QuantN,535/43,81/16,42/4,13/1,37/1,7/0,20/5,4/0,1/0,14/0,1/3,22/21,1/0,4/5,4/1,53/3,2/0
Eastern Bru,bru,Austroasiatic,NumN,_,_,QuantN,457/41,134/19,75/4,52/3,44/1,10/2,80/8,8/0,0/1,23/2,5/3,50/20,7/1,10/2,26/0,86/6,2/0
Bassari,bsc,Atlantic-Congo,NNum,_,_,NQuant,88/110,30/100,4/73,13/35,8/35,0/11,18/71,1/4,0/1,7/18,1/6,12/59,0/10,4/8,4/26,20/52,0/0
Barasana-Eduria,bsn,Tucanoan,NumN,_,_,QuantN,90/9,68/11,43/10,12/3,35/2,10/0,60/9,7/1,0/0,13/3,3/2,51/14,1/1,7/3,14/2,35/13,1/0
Baga Sitemu,bsp,Atlantic-Congo,NNum,_,_,NQuant,26/54,11/86,7/57,5/21,7/24,2/14,20/52,2/6,1/7,5/31,0/7,8/30,2/9,1/10,0/30,5/24,0/0
Akoose,bss,Atlantic-Congo,NNum,V,X,QuantN,95/116,40/99,9/73,13/34,12/34,2/10,12/72,0/6,0/5,8/18,0/6,27/40,3/0,6/7,18/3,47/34,4/0
Batak Dairi,btd,Austronesian,NumN,V,X,QuantN,486/54,98/40,70/12,34/18,39/8,5/2,48/31,7/0,0/4,21/2,3/3,41/25,4/3,8/2,19/1,67/3,2/0
Biatah Bidayuh,bth,Austronesian,NumN,V,X,QuantN,422/48,119/18,72/12,40/2,45/2,8/3,78/7,6/0,0/5,23/2,1/6,40/21,4/0,6/0,19/0,84/4,3/0
Rinconada Bikol,bto,Austronesian,NumN,V,X,QuantN,331/119,83/51,62/22,37/16,34/12,11/1,57/33,6/2,0/5,20/7,0/6,44/30,5/4,9/1,19/2,103/16,4/0
Batak Simalungun,bts,Austronesian,NumN,V,X,QuantN,482/87,100/45,73/15,35/19,41/6,10/2,60/30,6/1,0/2,20/6,1/6,43/31,4/0,8/3,22/0,106/7,4/1
Bete-Bendi,btt,Atlantic-Congo,NNum,_,_,NQuant,97/80,45/74,14/53,13/13,13/21,0/11,21/62,0/7,1/1,10/14,0/6,16/44,0/2,0/8,1/18,21/48,0/1
Batak Karo,btx,Austronesian,NumN,V,X,QuantN,485/60,120/26,77/11,34/17,44/3,11/1,58/32,8/0,0/5,17/7,2/6,28/29,5/5,5/4,21/0,88/4,3/1
Ntcham,bud,Atlantic-Congo,NNum,_,_,NQuant,72/74,36/88,25/47,17/25,8/34,0/6,16/65,4/4,1/0,6/20,0/6,20/51,3/5,0/9,1/18,27/60,0/0
Buginese,bug,Austronesian,NumN,_,_,QuantN,542/59,99/27,42/23,43/3,37/7,11/1,70/8,8/0,1/1,22/3,3/4,62/19,8/1,6/3,19/0,78/4,1/0
Bugawac,buk,Austronesian,NNum,V,X,NQuant,99/81,40/87,7/62,5/29,6/36,0/10,14/63,4/2,4/0,8/15,1/6,16/46,2/0,2/6,1/13,23/60,0/0
Bulu (Cameroon),bum,Atlantic-Congo,NNum,_,_,QuantN,339/613,113/590,67/387,46/221,40/181,26/93,99/331,1/47,4/25,22/181,1/20,12/160,20/214,11/139,43/101,146/71,10/3
Bokobaru,bus,Mande,NNum,_,_,NQuant,64/99,48/86,12/66,14/29,7/33,1/8,13/70,3/3,0/0,8/20,0/7,24/52,2/4,0/5,1/19,8/54,0/0
Burarra,bvr,Maningrida,_,V,5/6,QuantN,171/31,78/26,34/35,30/15,14/19,3/7,51/37,3/4,0/0,13/15,0/7,15/45,1/2,2/2,2/14,37/9,0/0
Bauzi,bvz,Geelvink Bay,_,_,_,_,30/48,35/50,24/29,14/13,13/16,1/10,27/47,1/3,0/3,9/11,1/5,31/22,3/2,3/2,10/18,5/5,0/0
Bwaidoka,bwd,Austronesian,NNum,_,_,_,24/28,10/27,4/18,1/3,1/3,1/1,12/34,1/2,0/1,1/13,0/2,2/6,3/4,1/10,3/9,1/0,0/0
Southern Bobo Madaré,bwq,Mande,NNum,_,_,NQuant,155/292,35/102,13/62,5/35,11/32,0/11,11/74,2/6,0/1,8/17,1/6,25/47,1/8,0/10,0/20,25/66,0/2
Buli (Ghana),bwu,Atlantic-Congo,NNum,_,_,_,90/70,33/73,22/40,19/21,7/33,3/8,21/55,4/3,1/0,5/19,0/6,20/33,4/4,4/6,2/18,23/28,0/1
Buhutu,bxh,Austronesian,NNum,_,_,NQuant,37/68,18/50,6/53,5/12,2/11,3/9,6/56,0/5,0/0,5/12,0/1,13/16,2/4,2/6,3/25,7/17,0/2
Russia Buriat,bxr,Mongolic,NumN,_,_,QuantN,235/27,121/12,81/4,49/3,45/1,8/4,82/5,6/0,1/0,22/2,7/0,72/1,7/0,5/0,18/2,71/8,0/0
Baruya,byr,Angan,_,_,_,_,55/59,32/33,22/50,17/29,18/14,1/10,27/56,3/5,0/0,7/8,4/2,31/36,0/0,1/7,0/15,28/25,0/0
Qaqet,byx,Baining,NNum,V,2/3,QuantN,353/51,64/32,28/44,22/15,24/16,2/7,27/43,2/8,0/0,11/8,2/5,18/32,2/0,1/5,3/14,34/13,1/1
Bribri,bzd,Chibchan,NNum,_,_,NQuant,87/114,36/71,30/44,19/20,9/37,2/11,26/51,3/4,0/3,7/15,2/7,24/34,3/1,0/10,3/24,25/40,1/0
Mapos Buang,bzh,Austronesian,NNum,_,_,NQuant,110/82,41/86,9/63,17/22,7/33,0/9,18/64,4/2,0/0,5/18,1/5,12/47,0/0,0/12,1/16,25/63,0/0
Bisu,bzi,Sino-Tibetan,NumN,V,X,_,64/131,62/64,67/8,29/9,35/10,9/1,34/54,7/0,3/0,20/5,6/1,40/19,0/0,8/0,15/0,30/32,0/0
Belize Kriol English,bzj,Indo-European,NumN,_,_,QuantN,802/36,119/14,75/7,40/0,44/0,10/1,76/8,7/0,4/1,24/2,3/4,45/19,3/1,7/2,17/0,92/0,1/0
Chortí,caa,Mayan,NumN,_,_,QuantN,693/26,98/20,53/12,38/1,38/5,8/3,75/9,8/0,0/1,22/3,4/3,36/21,1/1,5/4,16/0,84/7,2/0
Garifuna,cab,Arawakan,NumN,_,_,QuantN,775/48,109/20,68/13,38/2,39/2,6/2,80/7,6/0,1/3,20/3,3/3,43/23,2/1,5/3,18/0,100/5,2/0
Chuj,cac,Mayan,NumN,_,_,QuantN,2898/74,538/68,338/54,165/35,176/17,86/5,371/39,41/2,10/1,183/13,15/7,139/46,107/3,70/13,106/3,264/4,14/0
Southern Carrier,caf,Athabaskan-Eyak-Tlingit,NumN,_,_,QuantN,250/52,103/19,66/6,41/2,37/5,10/2,106/6,5/3,1/0,20/1,3/2,61/7,5/1,4/3,23/2,81/12,1/0
Nivaclé,cag,Matacoan,NumN,_,_,QuantN,424/23,98/21,61/10,43/0,40/2,8/2,81/5,7/1,0/1,20/5,5/2,54/14,2/1,8/2,18/4,76/6,2/0
Kaqchikel,cak,Mayan,NumN,_,_,QuantN,7868/256,1259/203,797/94,494/21,416/33,137/29,906/50,76/8,18/17,308/24,45/21,464/157,161/15,138/24,236/15,810/17,28/0
Chácobo,cao,Pano-Tacanan,NumN,V,X,QuantN,154/32,106/11,70/9,36/0,41/3,8/4,67/6,8/0,0/3,9/0,4/2,58/5,3/1,6/4,19/1,73/6,0/0
Chipaya,cap,Uru-Chipaya,NumN,_,_,QuantN,1063/45,228/19,135/7,82/5,77/0,16/3,151/9,13/1,0/0,42/3,8/3,109/27,14/2,12/5,46/3,129/7,4/0
Car Nicobarese,caq,Austroasiatic,NumN,_,_,QuantN,1814/165,671/73,373/46,232/42,210/34,101/12,374/18,55/4,36/3,203/15,23/4,138/37,153/5,131/21,164/14,221/12,12/2
Galibi Carib,car,Cariban,NumN,_,_,QuantN,686/38,110/12,74/6,52/2,44/1,11/0,81/8,8/0,4/1,22/2,5/0,80/4,9/2,7/3,19/0,99/5,1/0
Tsimané,cas,Mosetén-Chimané,NumN,_,_,QuantN,418/25,118/11,70/2,39/6,38/3,9/3,70/8,7/1,0/1,20/4,3/4,44/18,6/1,8/1,19/0,74/3,1/0
Catalan,cat,Indo-European,NumN,_,_,QuantN,2085/127,218/53,151/15,83/2,81/8,19/3,165/12,12/1,3/2,42/10,6/8,97/49,7/0,11/7,34/2,198/7,9/1
Cavineña,cav,Pano-Tacanan,NumN,_,_,QuantN,114/30,98/22,64/6,42/2,39/1,8/2,61/9,7/1,0/1,20/0,4/2,32/9,1/0,9/0,26/0,41/9,2/0
Chiquitano,cax,Chiquitano,NumN,V,X,QuantN,1087/63,210/42,141/15,87/0,81/5,18/5,154/13,16/0,1/4,44/4,6/8,84/46,4/3,13/7,37/3,135/3,2/0
Carapana,cbc,Tucanoan,NumN,_,_,QuantN,189/19,76/18,55/8,25/6,39/5,12/1,84/29,6/0,1/0,28/7,6/1,39/19,2/1,7/3,18/3,54/10,0/0
Chachi,cbi,Barbacoan,NumN,_,_,QuantN,423/41,100/23,75/6,27/5,33/9,8/0,71/7,5/1,3/1,20/3,3/3,51/7,0/1,8/0,17/0,51/24,0/1
Chavacano,cbk,Indo-European,NumN,V,X,QuantN,707/43,121/17,78/7,51/0,43/2,9/3,78/9,8/0,0/5,20/4,5/2,44/23,8/1,9/1,17/0,92/0,1/0
Cashibo-Cacataibo,cbr,Pano-Tacanan,NumN,V,X,QuantN,91/49,66/39,62/2,22/21,35/3,10/7,41/17,5/1,0/0,15/9,0/4,24/11,1/1,6/1,18/2,38/8,1/1
Cashinahua,cbs,Pano-Tacanan,NumN,V,4/5,_,41/30,32/56,23/38,13/30,24/12,7/0,61/8,6/1,1/0,21/3,6/1,50/4,0/0,7/1,13/1,10/15,0/1
Chayahuita,cbt,Cahuapanan,NumN,_,_,QuantN,172/8,84/9,50/1,36/4,34/1,7/3,44/6,3/2,0/0,18/0,6/0,49/5,6/1,6/0,14/2,33/2,1/0
Candoshi-Shapra,cbu,Candoshi-Shapra,NumN,_,_,QuantN,44/14,40/27,48/9,19/5,24/5,8/4,31/24,5/1,0/0,15/15,1/1,20/16,2/0,2/3,14/1,23/8,1/0
Cacua,cbv,Kakua-Nukak,NumN,_,_,QuantN,97/13,89/13,62/3,22/2,36/5,9/2,64/3,6/1,0/1,20/2,4/1,51/2,1/1,10/0,15/0,50/8,2/0
Chopi,cce,Atlantic-Congo,NumN,V,X,NQuant,102/145,31/103,8/68,36/18,39/5,8/3,54/32,4/6,0/0,18/6,1/6,29/32,3/4,9/2,22/5,12/68,0/0
Comaltepec Chinantec,cco,Otomanguean,NumN,_,_,QuantN,522/28,107/22,74/5,33/9,41/1,12/0,73/12,7/0,0/0,20/3,3/2,40/22,1/0,8/0,17/0,62/1,1/0
Cebuano,ceb,Austronesian,NumN,_,_,QuantN,16219/834,3497/299,2026/290,1179/143,1119/157,528/46,1846/186,250/17,148/14,961/96,88/24,812/258,908/69,601/97,591/20,1364/39,81/13
Chamacoco,ceg,Zamucoan,_,V,X,_,68/70,55/66,46/36,22/21,24/23,4/8,35/47,3/4,0/5,11/13,3/4,33/34,3/2,6/4,13/7,26/40,1/0
Czech,ces,Indo-European,NumN,_,_,QuantN,764/582,785/141,461/86,285/31,249/76,118/12,407/78,55/10,32/7,203/44,19/9,151/103,130/52,126/33,131/17,283/111,17/4
Falam Chin,cfm,Sino-Tibetan,NNum,_,_,NQuant,237/979,63/468,57/284,24/146,24/127,17/78,33/333,8/40,8/22,28/139,3/15,28/113,19/141,46/75,15/105,19/156,0/11
Kagayanen,cgc,Austronesian,NumN,_,_,QuantN,446/56,113/19,75/8,42/1,41/3,8/2,76/11,5/1,1/0,18/5,3/3,42/25,4/1,6/3,15/0,92/4,2/0
Chamorro,cha,Austronesian,NumN,V,X,QuantN,1839/129,290/75,182/18,95/4,119/3,26/4,135/21,18/0,5/5,58/11,7/12,90/70,15/3,17/11,45/3,263/24,8/0
Highland Oaxaca Chontal,chd,Tequistlatecan,NumN,_,_,QuantN,382/44,106/23,64/6,31/9,37/5,10/2,76/5,7/1,2/1,20/4,5/2,40/18,3/0,8/2,18/0,68/6,1/0
Chechen,che,Nakh-Daghestanian,NumN,_,_,QuantN,1243/112,674/53,420/35,244/11,245/30,109/5,355/24,54/2,36/0,191/10,18/1,153/24,205/13,173/20,109/4,189/23,9/2
Tabasco Chontal,chf,Mayan,NumN,_,_,QuantN,686/41,100/22,71/6,45/0,42/1,11/1,69/12,8/0,2/1,22/3,2/4,50/21,2/2,8/2,19/2,88/0,3/0
Chuukese,chk,Austronesian,NumN,_,_,QuantN,3645/86,544/87,313/68,180/38,147/52,88/6,331/39,28/10,18/15,176/20,17/4,138/55,127/64,88/52,106/16,229/23,13/4
Quiotepec Chinantec,chq,Otomanguean,NumN,_,_,QuantN,651/50,106/23,70/7,41/4,43/3,8/3,74/13,6/1,1/0,20/4,3/3,41/21,1/1,9/1,20/1,66/13,0/0
Cherokee,chr,Iroquoian,NumN,_,_,QuantN,199/35,113/16,75/7,47/1,41/0,10/1,76/6,4/1,1/0,27/0,4/2,59/15,5/2,8/2,20/2,94/1,2/0
Church Slavic,chu,Indo-European,NumN,V,X,QuantN,152/129,98/36,52/33,39/8,41/5,7/4,68/19,4/2,1/0,17/7,4/2,40/34,6/2,4/5,7/14,68/56,5/2
Chuvash,chv,Turkic,NumN,_,_,QuantN,292/35,121/10,77/5,47/8,44/2,9/0,84/2,7/0,5/0,21/3,7/0,68/5,9/1,10/0,20/0,55/30,1/0
Ozumacín Chinantec,chz,Otomanguean,NumN,V,X,QuantN,655/45,116/22,70/14,50/1,44/3,11/1,78/7,8/0,0/5,24/2,4/3,49/22,2/1,6/4,19/2,98/3,4/0
Ashéninka Pajonal,cjo,Arawakan,NumN,V,X,QuantN,142/36,63/30,47/13,21/7,20/16,7/2,39/23,3/3,0/0,5/13,1/4,21/21,0/0,3/3,11/2,62/3,1/0
Cabécar,cjp,Chibchan,_,V,X,NQuant,152/120,63/72,55/28,17/27,25/21,8/4,25/65,7/1,1/3,10/17,2/5,45/30,3/4,3/7,16/4,23/64,2/2
Shor,cjs,Turkic,NumN,_,_,QuantN,45/2,29/2,17/0,6/1,9/1,4/0,5/1,1/0,0/0,1/0,0/0,17/1,0/0,1/0,2/0,15/3,0/0
Chuave,cjv,Nuclear Trans New Guinea,NNum,V,1/3,NQuant,64/38,52/65,19/50,23/19,8/23,3/8,17/53,2/5,0/0,6/13,1/5,27/26,0/0,2/3,1/14,23/42,0/0
Central Kurdish,ckb,Indo-European,NumN,_,_,QuantN,133/32,135/10,71/11,49/5,45/2,11/1,81/5,8/0,0/1,26/1,4/2,60/12,10/1,6/3,19/3,71/25,1/0
Anufo,cko,Atlantic-Congo,NNum,V,X,NQuant,64/96,43/84,26/53,9/39,12/32,4/9,14/74,6/2,1/4,7/16,1/5,23/44,2/7,0/6,1/20,21/57,1/0
Chukot,ckt,Chukotko-Kamchatkan,NumN,_,_,QuantN,28/7,17/1,6/1,0/0,9/0,1/0,4/0,2/0,0/1,9/0,0/0,7/0,0/0,1/0,1/0,3/0,0/0
Lealao Chinantec,cle,Otomanguean,NumN,_,_,QuantN,629/45,98/22,65/5,41/4,45/0,10/3,69/6,7/1,0/0,19/5,3/3,41/19,2/1,6/4,20/0,74/0,0/0
Caluyanun,clu,Austronesian,NumN,_,_,QuantN,395/34,96/24,65/9,34/3,33/9,7/3,77/9,6/0,0/1,18/3,3/4,32/26,0/0,5/0,16/1,88/1,2/1
Eastern Highland Chatino,cly,Otomanguean,NumN,V,X,QuantN,657/38,123/17,81/5,50/1,46/1,8/0,76/10,8/0,1/4,24/1,3/4,51/17,9/1,11/3,19/2,76/4,1/0
Cerma,cme,Atlantic-Congo,NNum,_,_,NQuant,73/116,32/87,20/47,8/21,7/33,1/10,18/49,2/6,0/0,3/16,1/5,24/42,1/6,4/2,2/18,19/44,0/0
Central Mnong,cmo,Austroasiatic,NumN,_,_,_,485/42,102/27,77/6,31/9,37/9,6/4,65/22,7/0,1/1,22/9,3/4,37/23,1/0,5/4,16/1,47/39,0/0
Hakha Chin,cnh,Sino-Tibetan,NNum,_,_,NQuant,219/1674,73/659,40/411,25/233,21/235,3/111,21/360,8/44,8/29,17/184,3/14,27/150,55/142,43/106,19/102,22/187,4/14
Asháninka,cni,Arawakan,_,V,X,QuantN,124/45,68/26,50/7,15/10,17/19,7/2,32/20,3/2,0/1,4/11,2/5,20/19,1/0,3/5,13/1,58/2,0/0
Lalana Chinantec,cnl,Otomanguean,NumN,V,X,QuantN,444/41,104/16,78/7,30/9,43/4,10/1,56/15,7/1,0/0,21/2,1/4,43/21,4/5,9/1,21/1,91/2,1/0
Tepetotutla Chinantec,cnt,Otomanguean,NumN,_,_,QuantN,630/43,109/19,72/8,40/2,42/2,10/1,79/6,7/0,0/0,25/2,3/3,46/17,1/1,5/1,16/0,99/2,1/0
Ngawn Chin,cnw,Sino-Tibetan,NNum,_,_,NQuant,73/291,37/82,38/41,8/26,10/31,3/5,12/73,4/3,0/0,3/17,1/4,25/28,1/4,1/9,4/16,13/73,0/2
Koreguaje,coe,Tucanoan,_,V,X,_,34/14,33/24,20/18,7/9,23/3,0/5,14/23,5/0,0/0,7/6,3/2,22/17,0/1,2/2,8/6,12/10,0/0
Colorado,cof,Barbacoan,NumN,_,_,QuantN,134/35,102/14,68/4,40/5,34/2,8/4,77/4,6/0,0/0,22/1,3/1,69/4,4/1,12/2,17/1,75/3,1/0
Santa Teresa Cora,cok,Uto-Aztecan,NumN,_,_,QuantN,246/23,100/24,68/6,36/12,40/1,4/4,39/35,6/1,0/0,20/4,3/4,38/29,4/5,4/5,18/1,37/6,0/0
Cofán,con,Cofán,NumN,_,_,QuantN,246/15,110/14,68/5,39/2,40/1,9/3,82/6,7/1,0/1,20/1,7/0,54/10,4/0,5/0,20/1,52/3,0/0
Coptic,cop,Afro-Asiatic,NumN,V,X,QuantN,252/319,90/229,176/18,106/4,104/8,18/2,221/16,16/2,0/3,58/10,7/8,142/71,4/0,14/5,49/0,292/29,5/0
Cornish,cor,Indo-European,NumN,_,_,QuantN,284/55,114/26,67/14,53/0,46/1,11/0,82/8,7/0,1/1,24/3,3/4,50/23,2/0,7/2,17/4,121/8,3/0
Caquinte,cot,Arawakan,NumN,V,X,QuantN,145/24,70/19,47/12,20/2,32/8,8/0,47/26,6/1,0/0,13/8,2/5,30/36,0/0,5/4,13/2,28/5,2/0
Palantla Chinantec,cpa,Otomanguean,NumN,V,X,QuantN,554/52,101/19,70/9,31/15,46/0,8/4,78/4,6/0,0/1,19/5,0/6,41/25,2/1,7/0,21/0,88/3,2/0
Ucayali-Yurúa Ashéninka,cpb,Arawakan,NumN,_,_,QuantN,158/29,91/16,55/6,23/7,28/8,8/1,46/24,5/1,0/1,15/5,5/2,29/23,1/1,4/0,14/1,45/2,0/0
Ajyíninka Apurucayali,cpc,Arawakan,NumN,_,_,QuantN,135/21,87/15,56/4,24/6,32/4,7/1,52/18,6/1,0/1,17/3,4/3,35/18,3/1,5/0,17/0,43/4,0/0
Pichis Ashéninka,cpu,Arawakan,NumN,_,_,QuantN,260/25,90/16,56/3,22/3,32/3,8/0,53/17,5/2,0/0,17/3,5/2,33/18,1/1,4/0,15/0,49/3,0/0
South Ucayali Ashéninka,cpy,Bookkeeping,NumN,_,_,QuantN,134/14,62/10,42/5,22/5,22/3,5/0,45/15,3/2,0/0,8/2,2/1,22/6,2/0,3/0,13/0,35/1,0/1
Crimean Tatar,crh,Turkic,NumN,_,_,QuantN,492/51,236/20,121/3,63/4,66/1,35/1,105/3,9/2,1/0,38/2,13/1,60/3,30/0,24/0,49/0,94/9,4/1
Moose Cree,crm,Algic,NumN,_,_,QuantN,326/57,115/22,75/7,45/5,46/0,11/1,81/8,6/0,2/0,22/5,2/4,46/27,10/1,6/4,17/1,120/1,3/0
El Nayar Cora,crn,Uto-Aztecan,NumN,V,X,QuantN,485/47,188/51,134/10,70/20,73/2,10/10,72/73,11/2,0/2,40/8,6/7,65/60,5/10,8/9,37/2,80/13,0/0
Iyo'wujwa Chorote,crq,Matacoan,NumN,_,_,QuantN,184/25,60/39,30/28,25/5,46/11,11/3,88/18,3/4,0/0,15/10,5/3,49/25,3/0,5/2,15/5,42/3,0/0
Seselwa Creole French,crs,Indo-European,NumN,_,_,QuantN,4374/90,591/43,368/32,184/11,167/18,93/7,357/12,42/1,18/2,190/14,17/3,108/49,118/1,77/22,106/2,229/10,14/0
Iyojwa'ja Chorote,crt,Matacoan,NumN,_,_,QuantN,185/27,60/40,25/32,23/6,48/9,14/1,88/23,5/4,0/0,15/11,5/2,50/23,4/1,4/5,16/4,43/2,0/0
Carrier,crx,Athabaskan-Eyak-Tlingit,NumN,_,_,QuantN,252/53,105/18,70/7,40/2,33/7,9/2,74/9,5/0,0/0,21/1,3/0,52/7,4/0,4/3,18/1,77/9,0/0
